name,stream,conducted,attended
Aarav,CSE,40,35
Ananya,CSE,40,38
Arjun,CSE,40,29
Bhavya,CSE,45,41
Charan,CSE,45,32
Deepika,CSE,50,45
Gautham,CSE,50,36
Harini,CSE,40,27
Ishaan,CSE,45,40
Kavya,CSE,50,48
Manoj,ECE,40,34
Meghana,ECE,45,39
Nikhil,ECE,50,31
Pooja,ECE,40,37
Rahul,ECE,45,30
Sanjana,ECE,50,44
Tejas,ECE,40,28
Varun,ECE,45,42
Yamini,ECE,50,35
Zoya,ECE,40,39
Aditya,AIML,50,47
Aishwarya,AIML,45,33
Bharat,AIML,40,30
Divya,AIML,50,46
Kiran,AIML,45,38
Lavanya,AIML,40,25
Mohan,AIML,50,41
Neha,AIML,45,36
Pranav,AIML,40,39
Sneha,AIML,50,32
Abhinav,DS,40,36
Bhargavi,DS,45,34
Chaitanya,DS,50,43
Dhanush,DS,40,29
Keerthi,DS,45,41
Lokesh,DS,50,37
Nandini,DS,40,31
Rohit,DS,45,44
Sravani,DS,50,35
Vamsi,DS,40,38
